=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
GMTUSDT      | 1h    | 61       | 34.43 %   | 16.37 % | $+47,752.21
GMTUSDT      | 4h    | 11       | 36.36 %   | 13.84 % | $+48.32
APEUSDT      | 1h    | 69       | 39.13 %   | 20.43 % | $+20,998.55
APEUSDT      | 4h    | 10       | 30.00 %   | 13.78 % | $+5,178.98
WOOUSDT      | 1h    | 64       | 34.38 %   | 27.53 % | $+21,775.16
WOOUSDT      | 4h    | 8        | 37.50 %   |  5.65 % | $+29,269.68
JASMYUSDT    | 1h    | 61       | 34.43 %   | 33.90 % | $+30,537.80
JASMYUSDT    | 4h    | 10       | 50.00 %   |  3.15 % | $+48,675.35
OPUSDT       | 1h    | 56       | 42.86 %   | 20.64 % | $+43,239.62
OPUSDT       | 4h    | 16       | 31.25 %   | 37.20 % | $-30,448.43
INJUSDT      | 1h    | 59       | 27.12 %   | 32.66 % | $+8,334.66
INJUSDT      | 4h    | 24       | 33.33 %   | 17.46 % | $+26,424.34
STGUSDT      | 1h    | 49       | 28.57 %   | 14.04 % | $+3,009.55
STGUSDT      | 4h    | 11       | 18.18 %   | 45.75 % | $-43,520.83
SPELLUSDT    | 1h    | 56       | 48.21 %   | 16.23 % | $+37,741.24
SPELLUSDT    | 4h    | 16       | 43.75 %   | 14.99 % | $+38,667.71
1000LUNCUSDT | 1h    | 73       | 28.77 %   | 56.11 % | $-50,386.03
1000LUNCUSDT | 4h    | 17       | 41.18 %   |  9.62 % | $+17,737.33
LUNA2USDT    | 1h    | 56       | 33.93 %   | 18.77 % | $+13,351.71
LUNA2USDT    | 4h    | 9        | 66.67 %   |  3.88 % | $+61,014.68
LDOUSDT      | 1h    | 59       | 16.95 %   | 61.96 % | $-56,961.06
LDOUSDT      | 4h    | 12       | 33.33 %   |  9.99 % | $+18,434.66
ICPUSDT      | 1h    | 72       | 37.50 %   | 21.73 % | $+14,382.38
ICPUSDT      | 4h    | 10       | 20.00 %   | 21.43 % | $-17,615.36
APTUSDT      | 1h    | 73       | 30.14 %   | 29.51 % | $-16,992.89
APTUSDT      | 4h    | 13       | 53.85 %   |  6.01 % | $+33,235.37
QNTUSDT      | 1h    | 75       | 38.67 %   |  9.90 % | $+41,693.47
QNTUSDT      | 4h    | 13       | 38.46 %   | 10.85 % | $+19,687.26
FETUSDT      | 1h    | 61       | 19.67 %   | 66.82 % | $-66,166.62
FETUSDT      | 4h    | 14       | 35.71 %   | 18.21 % | $+7,782.62
HOOKUSDT     | 1h    | 63       | 31.75 %   | 21.04 % | $+40,323.41
