=====================================================================================
🏛️ QM MASS-BACKTEST ERGEBNISSE | Margin: $5,000
=====================================================================================
Coin         | TF    | Trades   | Win Rate   | Max DD   | Netto PnL   
BROCCOLI714USDT | 1h    | 51       | 31.37 %   | 36.08 % | $+10,498.90
BROCCOLI714USDT | 4h    | 7        | 14.29 %   | 30.59 % | $-23,608.06
BROCCOLIF3BUSDT | 1h    | 57       | 35.09 %   | 25.82 % | $+34,331.46
BROCCOLIF3BUSDT | 4h    | 12       | 66.67 %   |  7.12 % | $+97,846.90
SIRENUSDT    | 1h    | 61       | 36.07 %   | 17.45 % | $+476,968.77
SIRENUSDT    | 4h    | 18       | 27.78 %   | 22.99 % | $-900.85
BANANAS31USDT | 1h    | 56       | 33.93 %   | 24.46 % | $+18,370.23
BANANAS31USDT | 4h    | 11       | 27.27 %   | 148.34 % | $-134,167.27
BRUSDT       | 1h    | 68       | 42.65 %   | 33.11 % | $+47,433.58
BRUSDT       | 4h    | 11       | 36.36 %   | 44.92 % | $-10,659.37
PLUMEUSDT    | 1h    | 52       | 30.77 %   | 21.00 % | $+14,923.15
PLUMEUSDT    | 4h    | 15       | 33.33 %   | 27.90 % | $+5,327.39
NILUSDT      | 1h    | 63       | 28.57 %   | 27.56 % | $-8,740.56
NILUSDT      | 4h    | 17       | 35.29 %   | 30.42 % | $+16,800.51
PARTIUSDT    | 1h    | 64       | 40.62 %   | 14.30 % | $+96,220.65
PARTIUSDT    | 4h    | 13       | 38.46 %   | 47.33 % | $-11,528.50
JELLYJELLYUSDT | 1h    | 62       | 45.16 %   | 35.18 % | $+94,809.57
JELLYJELLYUSDT | 4h    | 18       | 27.78 %   | 144.57 % | $-117,481.53
MAVIAUSDT    | 1h    | 47       | 42.55 %   | 16.28 % | $+36,703.18
MAVIAUSDT    | 4h    | 9        | 44.44 %   |  8.71 % | $+39,460.07
PAXGUSDT     | 1h    | 65       | 36.92 %   | 14.99 % | $-12,947.13
PAXGUSDT     | 4h    | 13       | 46.15 %   |  1.95 % | $+6,923.37
WALUSDT      | 1h    | 68       | 35.29 %   | 14.34 % | $+85,723.36
WALUSDT      | 4h    | 15       | 13.33 %   | 25.63 % | $-24,549.93
FUNUSDT      | 1h    | 68       | 51.47 %   |  9.75 % | $+104,786.90
FUNUSDT      | 4h    | 7        | 14.29 %   | 22.18 % | $-14,097.08
MLNUSDT      | 1h    | 64       | 37.50 %   | 14.51 % | $+61,711.12
MLNUSDT      | 4h    | 12       | 16.67 %   | 47.65 % | $-44,067.97
GUNUSDT      | 1h    | 46       | 30.43 %   | 14.17 % | $-2,199.80
GUNUSDT      | 4h    | 13       |  7.69 %   | 143.84 % | $-96,932.86
ATHUSDT      | 1h    | 51       | 27.45 %   | 17.17 % | $+469.09
ATHUSDT      | 4h    | 10       | 40.00 %   | 18.04 % | $+18,778.96
BABYUSDT     | 1h    | 55       | 36.36 %   | 54.36 % | $+13,501.58
BABYUSDT     | 4h    | 12       | 41.67 %   | 22.53 % | $+22,792.21
FORTHUSDT    | 1h    | 50       | 38.00 %   | 16.00 % | $+16,960.68
FORTHUSDT    | 4h    | 14       | 35.71 %   | 10.24 % | $+15,683.44
PROMPTUSDT   | 1h    | 38       | 28.95 %   | 43.09 % | $-33,323.58
PROMPTUSDT   | 4h    | 13       | 38.46 %   | 32.40 % | $+27,330.26
STOUSDT      | 1h    | 60       | 33.33 %   | 25.73 % | $+28,376.83
STOUSDT      | 4h    | 10       | 30.00 %   | 16.22 % | $-12,644.67
FHEUSDT      | 1h    | 38       | 26.32 %   | 96.64 % | $-91,801.57
FHEUSDT      | 4h    | 17       | 29.41 %   | 47.36 % | $-22,035.38
KERNELUSDT   | 1h    | 46       | 30.43 %   | 54.85 % | $-2,061.85
KERNELUSDT   | 4h    | 13       | 38.46 %   | 14.49 % | $+41,171.04
WCTUSDT      | 1h    | 52       | 30.77 %   | 29.32 % | $+1,341.84
WCTUSDT      | 4h    | 12       | 41.67 %   | 13.38 % | $+31,927.20
INITUSDT     | 1h    | 56       | 28.57 %   | 50.11 % | $-29,708.10
INITUSDT     | 4h    | 13       |  7.69 %   | 63.81 % | $-63,810.70
AERGOUSDT    | 1h    | 58       | 36.21 %   | 20.31 % | $+2,820.20
AERGOUSDT    | 4h    | 11       | 54.55 %   |  3.87 % | $+88,613.16
BANKUSDT     | 1h    | 47       | 23.40 %   | 65.60 % | $-44,921.56
BANKUSDT     | 4h    | 8        | 50.00 %   | 10.94 % | $+46,632.65
DEEPUSDT     | 1h    | 50       | 34.00 %   | 16.81 % | $+15,016.67
DEEPUSDT     | 4h    | 14       | 64.29 %   | 10.19 % | $+95,626.62
HYPERUSDT    | 1h    | 47       | 29.79 %   | 32.09 % | $+16,273.75
HYPERUSDT    | 4h    | 10       | 20.00 %   | 58.37 % | $-40,648.44
JSTUSDT      | 1h    | 60       | 28.33 %   | 20.28 % | $-11,193.35
JSTUSDT      | 4h    | 11       | 27.27 %   | 13.15 % | $+2,137.53
SIGNUSDT     | 1h    | 45       | 31.11 %   | 18.65 % | $+22,280.10
SIGNUSDT     | 4h    | 16       | 75.00 %   |  7.68 % | $+108,282.93
PUNDIXUSDT   | 1h    | 56       | 25.00 %   | 57.11 % | $-40,838.99
PUNDIXUSDT   | 4h    | 8        | 50.00 %   |  5.06 % | $+22,284.85
CTKUSDT      | 1h    | 46       | 34.78 %   |  9.25 % | $+29,006.96
CTKUSDT      | 4h    | 20       | 40.00 %   | 22.82 % | $+23,546.15
AIOTUSDT     | 1h    | 45       | 40.00 %   | 26.02 % | $+65,573.67
AIOTUSDT     | 4h    | 10       | 50.00 %   | 63.74 % | $-8,594.43
DOLOUSDT     | 1h    | 54       | 35.19 %   | 17.51 % | $+50,088.02
DOLOUSDT     | 4h    | 15       | 40.00 %   | 20.10 % | $+65,006.23
HAEDALUSDT   | 1h    | 56       | 35.71 %   | 10.30 % | $+39,289.55
HAEDALUSDT   | 4h    | 8        | 25.00 %   | 13.79 % | $+34,668.73
SXTUSDT      | 1h    | 48       | 22.92 %   | 15.03 % | $+1,749.36
SXTUSDT      | 4h    | 13       | 46.15 %   |  6.58 % | $+95,523.19
ASRUSDT      | 1h    | 44       | 34.09 %   | 23.94 % | $-1,426.64
ASRUSDT      | 4h    | 9        | 33.33 %   | 17.65 % | $+1,833.65
ALPINEUSDT   | 1h    | 46       | 30.43 %   | 32.95 % | $-5,973.91
ALPINEUSDT   | 4h    | 13       | 61.54 %   |  9.75 % | $+50,817.07
B2USDT       | 1h    | 56       | 30.36 %   | 32.71 % | $+27,794.56
B2USDT       | 4h    | 12       | 33.33 %   | 16.24 % | $+21,030.59
SYRUPUSDT    | 1h    | 66       | 19.70 %   | 50.58 % | $-46,160.89
SYRUPUSDT    | 4h    | 14       | 35.71 %   | 25.07 % | $+22,972.35
DOODUSDT     | 1h    | 42       | 35.71 %   | 11.31 % | $+79,265.39
DOODUSDT     | 4h    | 7        |  0.00 %   | 55.07 % | $-55,069.08
OGUSDT       | 1h    | 42       | 38.10 %   | 15.57 % | $+49,521.90
OGUSDT       | 4h    | 8        | 25.00 %   | 34.35 % | $+2,073.85
ZKJUSDT      | 1h    | 52       | 26.92 %   | 44.70 % | $-24,229.93
ZKJUSDT      | 4h    | 16       | 12.50 %   | 65.74 % | $-55,004.31
SKYAIUSDT    | 1h    | 39       | 38.46 %   | 42.28 % | $-9,628.12
SKYAIUSDT    | 4h    | 10       | 50.00 %   | 59.43 % | $-183.61
NXPCUSDT     | 1h    | 58       | 31.03 %   | 32.71 % | $+1,619.28
NXPCUSDT     | 4h    | 15       | 26.67 %   | 32.37 % | $-22,921.42
CVCUSDT      | 1h    | 50       | 44.00 %   | 15.56 % | $+47,675.82
CVCUSDT      | 4h    | 3        | 33.33 %   |  3.17 % | $-25.94
AGTUSDT      | 1h    | 57       | 40.35 %   | 11.50 % | $+71,544.95
AGTUSDT      | 4h    | 10       | 40.00 %   | 20.80 % | $-754.38
AWEUSDT      | 1h    | 48       | 31.25 %   | 41.11 % | $-3,852.77
AWEUSDT      | 4h    | 8        | 25.00 %   |  7.79 % | $+9,025.88
BUSDT        | 1h    | 38       | 39.47 %   | 12.27 % | $+63,095.43
BUSDT        | 4h    | 10       | 50.00 %   | 21.73 % | $+36,864.59
SOONUSDT     | 1h    | 59       | 38.98 %   | 18.10 % | $+31,188.65
SOONUSDT     | 4h    | 9        | 22.22 %   | 15.56 % | $+14,968.83
HUMAUSDT     | 1h    | 52       | 23.08 %   | 32.77 % | $-17,695.97
HUMAUSDT     | 4h    | 14       | 35.71 %   |  7.59 % | $+33,342.62
AUSDT        | 1h    | 47       | 23.40 %   | 24.44 % | $-24,439.96
AUSDT        | 4h    | 11       | 27.27 %   | 12.32 % | $+295.62
SOPHUSDT     | 1h    | 39       | 43.59 %   | 16.48 % | $+12,137.66
SOPHUSDT     | 4h    | 12       |  8.33 %   | 69.74 % | $-61,650.15
MERLUSDT     | 1h    | 55       | 29.09 %   | 23.90 % | $-6,567.24
MERLUSDT     | 4h    | 13       | 30.77 %   | 17.71 % | $+1,963.41
HYPEUSDT     | 1h    | 53       | 32.08 %   | 15.67 % | $+19,267.95
HYPEUSDT     | 4h    | 5        | 20.00 %   |  6.22 % | $+6,055.53
BDXNUSDT     | 1h    | 41       | 43.90 %   | 48.68 % | $+19,461.36
BDXNUSDT     | 4h    | 10       | 60.00 %   | 49.60 % | $-7,314.89
PUFFERUSDT   | 1h    | 46       | 28.26 %   | 25.57 % | $-7,845.79
PUFFERUSDT   | 4h    | 10       | 30.00 %   |  9.44 % | $+5,320.40
1000000BOBUSDT | 1h    | 42       | 33.33 %   | 17.38 % | $+10,113.96
1000000BOBUSDT | 4h    | 7        | 28.57 %   | 13.55 % | $+93.81
LAUSDT       | 1h    | 46       | 30.43 %   | 40.42 % | $-20,886.36
LAUSDT       | 4h    | 14       | 28.57 %   | 46.98 % | $-13,573.01
HOMEUSDT     | 1h    | 53       | 24.53 %   | 27.01 % | $-18,717.77
HOMEUSDT     | 4h    | 6        | 16.67 %   | 18.62 % | $-10,697.40
RESOLVUSDT   | 1h    | 45       | 40.00 %   | 11.07 % | $+68,225.08
RESOLVUSDT   | 4h    | 10       | 10.00 %   | 65.52 % | $-62,336.24
TAIKOUSDT    | 1h    | 40       | 35.00 %   | 13.71 % | $+11,654.41
TAIKOUSDT    | 4h    | 11       | 18.18 %   | 25.52 % | $-4,552.98
SQDUSDT      | 1h    | 31       | 35.48 %   | 12.35 % | $+23,048.06
SQDUSDT      | 4h    | 7        | 42.86 %   |  6.35 % | $+16,314.24
PUMPBTCUSDT  | 1h    | 40       | 47.50 %   | 17.33 % | $+50,119.10
PUMPBTCUSDT  | 4h    | 4        | 50.00 %   | 12.51 % | $+17,371.66
SPKUSDT      | 1h    | 42       | 23.81 %   | 36.23 % | $-4,492.32
SPKUSDT      | 4h    | 11       | 18.18 %   | 41.65 % | $-14,655.85
MYXUSDT      | 1h    | 39       | 23.08 %   | 89.79 % | $-89,788.51
MYXUSDT      | 4h    | 9        | 33.33 %   | 114.27 % | $-87,563.82
FUSDT        | 1h    | 37       | 29.73 %   | 25.65 % | $+7,883.84
FUSDT        | 4h    | 5        | 60.00 %   | 13.31 % | $+13,624.03
NEWTUSDT     | 1h    | 37       | 37.84 %   | 64.26 % | $-35,840.88
NEWTUSDT     | 4h    | 10       | 60.00 %   |  6.95 % | $+63,863.34
HUSDT        | 1h    | 33       | 45.45 %   | 20.99 % | $+77,741.47
HUSDT        | 4h    | 10       | 30.00 %   | 37.00 % | $-29,947.07
OLUSDT       | 1h    | 53       | 43.40 %   | 18.83 % | $+90,819.73
OLUSDT       | 4h    | 4        |  0.00 %   | 30.84 % | $-30,840.13
SAHARAUSDT   | 1h    | 48       | 31.25 %   | 36.03 % | $-7,850.19
SAHARAUSDT   | 4h    | 10       | 20.00 %   | 24.17 % | $-8,948.42
ICNTUSDT     | 1h    | 30       | 26.67 %   | 28.90 % | $+36,916.95
ICNTUSDT     | 4h    | 10       | 10.00 %   | 79.97 % | $-64,052.65
BULLAUSDT    | 1h    | 31       | 48.39 %   | 11.36 % | $+58,308.61
BULLAUSDT    | 4h    | 8        | 25.00 %   | 31.70 % | $-11,276.19
IDOLUSDT     | 1h    | 32       | 56.25 %   | 11.35 % | $+120,403.00
IDOLUSDT     | 4h    | 5        | 40.00 %   | 36.86 % | $-18,138.03
MUSDT        | 1h    | 43       | 41.86 %   | 16.78 % | $+39,435.39
MUSDT        | 4h    | 11       | 54.55 %   | 11.91 % | $+60,833.50
PUMPUSDT     | 1h    | 33       | 24.24 %   | 44.29 % | $-31,400.32
PUMPUSDT     | 4h    | 9        | 22.22 %   | 21.14 % | $+9,215.64
CROSSUSDT    | 1h    | 40       | 32.50 %   | 18.94 % | $+12,944.07
CROSSUSDT    | 4h    | 7        | 42.86 %   |  7.12 % | $+19,016.43
AINUSDT      | 1h    | 32       | 28.12 %   | 40.96 % | $-21,024.50
AINUSDT      | 4h    | 15       | 20.00 %   | 80.28 % | $-54,275.08
CUSDT        | 1h    | 52       | 40.38 %   | 12.96 % | $+76,388.02
CUSDT        | 4h    | 8        | 62.50 %   |  4.14 % | $+55,271.47
VELVETUSDT   | 1h    | 48       | 43.75 %   | 43.41 % | $+15,827.02
VELVETUSDT   | 4h    | 9        | 44.44 %   | 33.28 % | $+37,566.32
TACUSDT      | 1h    | 43       | 46.51 %   |  9.88 % | $+122,138.24
TACUSDT      | 4h    | 9        | 11.11 %   | 34.26 % | $-29,681.47
ERAUSDT      | 1h    | 40       | 32.50 %   | 18.23 % | $+16,486.99
ERAUSDT      | 4h    | 12       | 25.00 %   | 30.94 % | $-22,421.38
TAUSDT       | 1h    | 39       | 23.08 %   | 38.42 % | $-33,277.18
TAUSDT       | 4h    | 13       | 38.46 %   | 38.41 % | $+54,112.87
CVXUSDT      | 1h    | 43       | 30.23 %   | 21.42 % | $+27,558.07
CVXUSDT      | 4h    | 9        | 66.67 %   |  5.45 % | $+45,012.34
SLPUSDT      | 1h    | 32       | 34.38 %   | 22.02 % | $-14,861.10
SLPUSDT      | 4h    | 7        | 28.57 %   | 10.77 % | $-3,190.29
ZORAUSDT     | 1h    | 41       | 26.83 %   | 69.78 % | $-69,775.33
ZORAUSDT     | 4h    | 4        | 25.00 %   | 17.81 % | $-14,523.34
TAGUSDT      | 1h    | 37       | 43.24 %   | 22.51 % | $+37,202.13
TAGUSDT      | 4h    | 13       | 23.08 %   | 25.81 % | $-4,032.33
ESPORTSUSDT  | 1h    | 42       | 59.52 %   |  6.31 % | $+196,601.40
ESPORTSUSDT  | 4h    | 3        | 66.67 %   | 19.26 % | $+29,108.37
TREEUSDT     | 1h    | 37       | 37.84 %   | 22.14 % | $+56,040.89
TREEUSDT     | 4h    | 9        | 66.67 %   |  9.22 % | $+62,311.12
A2ZUSDT      | 1h    | 31       | 38.71 %   | 14.45 % | $+21,335.78
A2ZUSDT      | 4h    | 7        | 28.57 %   | 17.56 % | $-1,560.90
PLAYUSDT     | 1h    | 36       | 36.11 %   | 20.82 % | $+20,321.78
PLAYUSDT     | 4h    | 6        | 33.33 %   | 18.62 % | $+5,573.13
NAORISUSDT   | 1h    | 39       | 28.21 %   | 30.17 % | $+26,874.30
NAORISUSDT   | 4h    | 7        | 42.86 %   | 46.99 % | $+19,766.60
TOWNSUSDT    | 1h    | 40       | 35.00 %   | 25.67 % | $+12,910.82
TOWNSUSDT    | 4h    | 4        | 50.00 %   | 18.19 % | $+8,210.64
PROVEUSDT    | 1h    | 37       | 37.84 %   | 11.30 % | $+34,240.11
PROVEUSDT    | 4h    | 4        | 50.00 %   |  9.90 % | $+23,498.67
ALLUSDT      | 1h    | 39       | 38.46 %   | 24.50 % | $-1,540.62
ALLUSDT      | 4h    | 3        | 33.33 %   |  6.09 % | $+1,479.31
INUSDT       | 1h    | 38       | 36.84 %   | 21.66 % | $+9,701.23
INUSDT       | 4h    | 6        | 33.33 %   | 24.26 % | $+58.82
CARVUSDT     | 1h    | 28       | 32.14 %   | 11.44 % | $+7,049.36
CARVUSDT     | 4h    | 7        | 28.57 %   | 17.25 % | $+4,878.09
AIOUSDT      | 1h    | 28       | 42.86 %   | 20.42 % | $+26,032.66
AIOUSDT      | 4h    | 7        | 28.57 %   | 22.02 % | $-2,539.24
XNYUSDT      | 1h    | 33       | 27.27 %   | 52.75 % | $-20,875.69
XNYUSDT      | 4h    | 6        | 33.33 %   | 30.56 % | $+24,937.31
USELESSUSDT  | 1h    | 24       | 37.50 %   | 26.79 % | $+53,506.05
USELESSUSDT  | 4h    | 5        | 40.00 %   | 73.87 % | $-28,978.60
DAMUSDT      | 1h    | 24       | 41.67 %   | 13.42 % | $+52,690.71
DAMUSDT      | 4h    | 7        | 28.57 %   | 19.62 % | $-2,361.38
SAPIENUSDT   | 1h    | 28       | 28.57 %   | 34.69 % | $-18,462.14
SAPIENUSDT   | 4h    | 6        |  0.00 %   | 57.67 % | $-57,672.36
XPLUSDT      | 1h    | 30       | 30.00 %   | 31.73 % | $-8,346.87
XPLUSDT      | 4h    | 4        |  0.00 %   | 18.97 % | $-18,970.74
WLFIUSDT     | 1h    | 36       | 16.67 %   | 43.88 % | $-43,717.76
WLFIUSDT     | 4h    | 8        |  0.00 %   | 45.84 % | $-45,835.23
SOMIUSDT     | 1h    | 28       | 21.43 %   | 31.73 % | $-31,666.77
SOMIUSDT     | 4h    | 6        | 16.67 %   | 30.09 % | $-30,091.71
BASUSDT      | 1h    | 26       | 30.77 %   | 39.20 % | $+61,843.43
BASUSDT      | 4h    | 6        | 33.33 %   |  9.95 % | $+51,720.05
BTRUSDT      | 1h    | 28       | 46.43 %   | 12.22 % | $+96,927.89
BTRUSDT      | 4h    | 2        | 50.00 %   |  6.47 % | $+18,169.93
MITOUSDT     | 1h    | 33       | 18.18 %   | 63.57 % | $-49,529.96
MITOUSDT     | 4h    | 8        | 50.00 %   | 12.81 % | $+34,269.78
HEMIUSDT     | 1h    | 27       | 44.44 %   | 29.63 % | $+12,752.25
HEMIUSDT     | 4h    | 3        | 66.67 %   |  1.95 % | $+48,208.82
LINEAUSDT    | 1h    | 37       | 40.54 %   | 23.90 % | $+49,427.11
LINEAUSDT    | 4h    | 7        | 28.57 %   | 28.55 % | $-6,958.08
QUSDT        | 1h    | 28       | 50.00 %   | 20.22 % | $+79,265.64
QUSDT        | 4h    | 7        | 14.29 %   | 49.83 % | $-29,756.09
ARIAUSDT     | 1h    | 32       | 37.50 %   | 35.47 % | $+25,985.66
ARIAUSDT     | 4h    | 11       | 27.27 %   | 11.21 % | $+30,164.72
TAKEUSDT     | 1h    | 24       | 41.67 %   | 12.31 % | $+29,002.42
TAKEUSDT     | 4h    | 7        | 28.57 %   | 44.72 % | $-40,342.38
PTBUSDT      | 1h    | 27       | 33.33 %   | 19.16 % | $+23,914.72
PTBUSDT      | 4h    | 5        | 40.00 %   | 37.64 % | $-10,961.82
OPENUSDT     | 1h    | 36       | 38.89 %   | 13.84 % | $+47,832.80
OPENUSDT     | 4h    | 5        | 80.00 %   |  0.54 % | $+58,524.48
FLOCKUSDT    | 1h    | 26       | 42.31 %   | 21.44 % | $+28,779.17
FLOCKUSDT    | 4h    | 8        | 25.00 %   | 29.32 % | $-10,698.70
SKYUSDT      | 1h    | 29       | 27.59 %   | 22.14 % | $-5,067.23
SKYUSDT      | 4h    | 3        |  0.00 %   |  6.04 % | $-6,042.14
AVNTUSDT     | 1h    | 18       | 16.67 %   | 30.60 % | $-30,598.05
AVNTUSDT     | 4h    | 2        |  0.00 %   | 29.40 % | $-29,395.41
HOLOUSDT     | 1h    | 18       | 22.22 %   |  6.20 % | $+1,025.36
HOLOUSDT     | 4h    | 5        | 40.00 %   | 12.14 % | $+7,204.95
XPINUSDT     | 1h    | 25       | 44.00 %   | 13.18 % | $+52,296.80
XPINUSDT     | 4h    | 3        |  0.00 %   | 27.93 % | $-27,934.00
UBUSDT       | 1h    | 36       | 38.89 %   | 41.75 % | $+6,194.88
UBUSDT       | 4h    | 8        | 50.00 %   | 17.08 % | $+11,342.20
ZKCUSDT      | 1h    | 20       | 15.00 %   | 45.42 % | $-45,420.27
ZKCUSDT      | 4h    | 3        |  0.00 %   | 39.62 % | $-39,619.85
TOSHIUSDT    | 1h    | 28       | 46.43 %   | 24.17 % | $+17,076.06
TOSHIUSDT    | 4h    | 7        | 42.86 %   | 17.22 % | $+11,102.40
STBLUSDT     | 1h    | 23       | 30.43 %   | 24.94 % | $-15,848.86
STBLUSDT     | 4h    | 2        |  0.00 %   | 30.25 % | $-30,245.70
0GUSDT       | 1h    | 19       | 42.11 %   | 11.54 % | $+86,851.45
0GUSDT       | 4h    | 5        |  0.00 %   | 30.44 % | $-30,435.86
BARDUSDT     | 1h    | 37       | 45.95 %   |  8.02 % | $+62,510.04
BARDUSDT     | 4h    | 3        | 33.33 %   |  3.39 % | $+4,839.89
ASTERUSDT    | 1h    | 29       | 34.48 %   | 17.68 % | $+32,068.87
ASTERUSDT    | 4h    | 5        |  0.00 %   | 36.19 % | $-36,192.98
TRADOORUSDT  | 1h    | 20       | 55.00 %   | 37.04 % | $+32,648.81
TRADOORUSDT  | 4h    | 2        | 50.00 %   |  1.63 % | $+8,265.31
BLESSUSDT    | 1h    | 18       | 38.89 %   | 11.91 % | $+65,226.56
BLESSUSDT    | 4h    | 2        | 50.00 %   |  5.27 % | $+12,027.00
FLUIDUSDT    | 1h    | 19       | 42.11 %   |  8.11 % | $+21,319.07
FLUIDUSDT    | 4h    | 7        | 57.14 %   | 28.76 % | $+7,035.09
COAIUSDT     | 1h    | 31       | 51.61 %   | 14.17 % | $+184,131.07
COAIUSDT     | 4h    | 5        | 40.00 %   |  5.72 % | $+74,270.98
HANAUSDT     | 1h    | 31       | 29.03 %   | 35.45 % | $+24,940.68
HANAUSDT     | 4h    | 7        | 28.57 %   | 44.40 % | $-35,745.78
MIRAUSDT     | 1h    | 15       | 40.00 %   |  8.67 % | $+13,735.96
MIRAUSDT     | 4h    | 3        |  0.00 %   | 21.05 % | $-21,054.15
AKEUSDT      | 1h    | 16       | 31.25 %   | 60.96 % | $-47,396.96
AKEUSDT      | 4h    | 4        |  0.00 %   | 32.33 % | $-32,334.69
ORDERUSDT    | 1h    | 22       | 36.36 %   | 17.63 % | $+13,639.15
ORDERUSDT    | 4h    | 4        | 25.00 %   |  9.30 % | $+11,682.20
LIGHTUSDT    | 1h    | 24       | 50.00 %   | 26.16 % | $+66,680.87
LIGHTUSDT    | 4h    | 8        | 50.00 %   | 31.02 % | $+86,199.65
XANUSDT      | 1h    | 20       | 20.00 %   | 25.44 % | $-18,766.63
XANUSDT      | 4h    | 3        | 33.33 %   | 24.96 % | $-10,719.53
FFUSDT       | 1h    | 34       | 23.53 %   | 31.18 % | $-14,041.06
FFUSDT       | 4h    | 6        | 16.67 %   | 19.60 % | $-7,403.20
VFYUSDT      | 1h    | 26       | 38.46 %   | 22.68 % | $+37,270.91
VFYUSDT      | 4h    | 7        | 42.86 %   |  7.81 % | $+39,017.57
EDENUSDT     | 1h    | 31       | 32.26 %   | 14.36 % | $+10,883.82
EDENUSDT     | 4h    | 8        | 25.00 %   | 31.55 % | $-1,596.90
NOMUSDT      | 1h    | 21       | 38.10 %   |  6.48 % | $+42,009.30
NOMUSDT      | 4h    | 5        |  0.00 %   | 46.34 % | $-46,344.71
TRUTHUSDT    | 1h    | 34       | 29.41 %   | 81.21 % | $-65,923.51
TRUTHUSDT    | 4h    | 4        | 25.00 %   | 49.41 % | $-30,096.94
2ZUSDT       | 1h    | 22       | 40.91 %   | 16.28 % | $+3,938.80
2ZUSDT       | 4h    | 7        | 57.14 %   | 24.87 % | $+4,536.58
EVAAUSDT     | 1h    | 17       | 29.41 %   | 49.96 % | $-21,452.62
EVAAUSDT     | 4h    | 3        | 66.67 %   |  3.71 % | $+47,747.52
LYNUSDT      | 1h    | 23       | 39.13 %   | 11.57 % | $+44,077.30
LYNUSDT      | 4h    | 1        |  0.00 %   | 14.21 % | $-14,206.90
KGENUSDT     | 1h    | 21       | 33.33 %   | 22.88 % | $+36,386.30
KGENUSDT     | 4h    | 3        | 66.67 %   |  6.20 % | $+48,879.62
4USDT        | 1h    | 23       | 34.78 %   | 28.82 % | $+24,470.00
4USDT        | 4h    | 3        | 33.33 %   | 11.79 % | $+10,621.82
GIGGLEUSDT   | 1h    | 16       | 25.00 %   | 29.69 % | $-29,692.15
GIGGLEUSDT   | 4h    | 4        | 50.00 %   | 18.12 % | $+1,420.16
MONUSDT      | 1h    | 24       | 29.17 %   | 32.22 % | $-1,534.68
MONUSDT      | 4h    | 4        | 25.00 %   | 28.16 % | $-12,046.74
YBUSDT       | 1h    | 14       |  7.14 %   | 27.45 % | $-10,503.03
YBUSDT       | 4h    | 4        | 50.00 %   |  6.68 % | $+9,693.00
METUSDT      | 1h    | 22       | 31.82 %   |  9.34 % | $+18,788.57
METUSDT      | 4h    | 6        |  0.00 %   | 17.98 % | $-17,984.41
EULUSDT      | 1h    | 28       | 25.00 %   | 26.63 % | $-26,629.47
EULUSDT      | 4h    | 4        | 50.00 %   | 11.92 % | $+1,924.49
ENSOUSDT     | 1h    | 24       | 16.67 %   | 63.47 % | $-32,872.45
ENSOUSDT     | 4h    | 7        | 42.86 %   | 14.76 % | $+32,665.94
CLOUSDT      | 1h    | 15       | 13.33 %   | 65.74 % | $-56,799.88
CLOUSDT      | 4h    | 4        | 25.00 %   |  9.76 % | $+28,837.51
RECALLUSDT   | 1h    | 17       | 41.18 %   | 10.45 % | $+18,301.67
RECALLUSDT   | 4h    | 1        |  0.00 %   |  3.68 % | $-3,680.68
ZBTUSDT      | 1h    | 20       | 15.00 %   | 40.22 % | $-40,222.22
ZBTUSDT      | 4h    | 3        | 66.67 %   | 16.78 % | $+9,034.02
LABUSDT      | 1h    | 20       | 35.00 %   | 30.47 % | $-5,994.05
LABUSDT      | 4h    | 4        |  0.00 %   | 61.91 % | $-61,910.79
RIVERUSDT    | 1h    | 18       | 27.78 %   | 26.40 % | $+45,815.67
RIVERUSDT    | 4h    | 3        | 33.33 %   | 18.24 % | $+7,059.85
币安人生USDT     | 1h    | 17       | 47.06 %   | 11.88 % | $+62,060.69
币安人生USDT     | 4h    | 3        |  0.00 %   | 47.59 % | $-47,585.22
BLUAIUSDT    | 1h    | 25       | 40.00 %   | 27.28 % | $+32,669.85
BLUAIUSDT    | 4h    | 7        | 28.57 %   | 15.59 % | $+41,089.56
TURTLEUSDT   | 1h    | 26       | 26.92 %   | 15.94 % | $+22,694.65
TURTLEUSDT   | 4h    | 5        |  0.00 %   | 16.14 % | $-16,138.71
APRUSDT      | 1h    | 18       | 38.89 %   | 48.93 % | $-13,632.49
APRUSDT      | 4h    | 6        | 33.33 %   | 28.40 % | $-10,349.84
ONUSDT       | 1h    | 32       | 31.25 %   | 17.17 % | $-1,494.79
ONUSDT       | 4h    | 3        | 33.33 %   |  3.09 % | $+6,869.24
KITEUSDT     | 1h    | 29       | 24.14 %   | 74.91 % | $-67,942.91
KITEUSDT     | 4h    | 3        | 33.33 %   | 10.21 % | $+10,236.54
ATUSDT       | 1h    | 35       | 42.86 %   | 42.07 % | $-5,984.48
ATUSDT       | 4h    | 6        | 33.33 %   | 17.42 % | $-12,575.80
CCUSDT       | 1h    | 20       | 40.00 %   | 16.56 % | $+11,148.25
CCUSDT       | 4h    | 3        |  0.00 %   |  9.67 % | $-9,665.92
MMTUSDT      | 1h    | 13       | 30.77 %   | 20.57 % | $-7,988.51
MMTUSDT      | 4h    | 4        |  0.00 %   | 54.90 % | $-54,898.74
TRUSTUSDT    | 1h    | 15       | 40.00 %   |  9.50 % | $+16,732.92
TRUSTUSDT    | 4h    | 3        | 66.67 %   | 13.92 % | $+1,143.71
