=====================================================================================
🧠 SMC BTC HYPERPARAMETER ERGEBNISSE | Sortiert nach Profit
=====================================================================================
SL %     | EMA   | R:R    | Trades | Win Rate  | Max DD  | Netto PnL   
 1.50%  | 21    | 1.25   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 21    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 25    | 1.25   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 25    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 29    | 1.25   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 29    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 33    | 1.25   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.50%  | 33    | 1.50   | 1      | 100.00 % |  0.00% | $+2,368.77
 1.00%  | 21    | 1.15   | 5      |  60.00 % |  2.89% | $+2,253.31
 1.00%  | 25    | 1.00   | 5      |  60.00 % |  2.89% | $+2,253.31
 1.00%  | 25    | 1.15   | 5      |  60.00 % |  2.89% | $+2,253.31
 1.00%  | 29    | 1.00   | 5      |  60.00 % |  2.89% | $+2,253.31
 1.00%  | 29    | 1.15   | 5      |  60.00 % |  2.89% | $+2,253.31
 1.00%  | 33    | 1.00   | 5      |  60.00 % |  2.89% | $+2,253.31
 1.00%  | 33    | 1.15   | 5      |  60.00 % |  2.89% | $+2,253.31
 0.20%  | 21    | 0.90   | 44     |  43.18 % |  4.01% | $+2,121.39
 1.00%  | 12    | 1.15   | 5      |  60.00 % |  1.79% | $+2,032.84
 1.00%  | 12    | 1.25   | 5      |  60.00 % |  1.79% | $+2,032.84
 1.00%  | 15    | 1.15   | 5      |  60.00 % |  1.79% | $+2,032.84
 1.00%  | 15    | 1.25   | 5      |  60.00 % |  1.79% | $+2,032.84
 0.20%  | 21    | 1.00   | 41     |  41.46 % |  4.03% | $+1,962.73
 0.20%  | 33    | 0.90   | 49     |  42.86 % |  3.76% | $+1,873.21
 1.25%  | 25    | 0.90   | 5      |  60.00 % |  3.38% | $+1,751.41
 1.25%  | 29    | 0.90   | 5      |  60.00 % |  3.38% | $+1,751.41
 1.25%  | 33    | 0.90   | 5      |  60.00 % |  3.38% | $+1,751.41
 0.75%  | 25    | 1.15   | 6      |  50.00 % |  2.39% | $+1,725.78
 0.75%  | 29    | 1.15   | 6      |  50.00 % |  2.39% | $+1,725.78
 0.75%  | 33    | 1.15   | 6      |  50.00 % |  2.39% | $+1,725.78
 0.20%  | 33    | 1.00   | 46     |  41.30 % |  3.77% | $+1,714.55
 1.25%  | 21    | 1.15   | 3      |  66.67 % |  2.07% | $+1,696.64
 1.25%  | 25    | 1.15   | 3      |  66.67 % |  2.07% | $+1,696.64
 1.25%  | 29    | 1.15   | 3      |  66.67 % |  2.07% | $+1,696.64
 1.25%  | 33    | 1.15   | 3      |  66.67 % |  2.07% | $+1,696.64
 0.20%  | 29    | 0.90   | 47     |  42.55 % |  3.95% | $+1,640.45
 1.00%  | 12    | 1.00   | 7      |  57.14 % |  3.32% | $+1,610.27
 1.00%  | 15    | 1.00   | 7      |  57.14 % |  3.32% | $+1,610.27
 0.20%  | 21    | 1.50   | 32     |  37.50 % |  4.11% | $+1,603.26
 0.50%  | 9     | 1.50   | 7      |  57.14 % |  1.56% | $+1,593.37
 1.25%  | 12    | 1.00   | 5      |  60.00 % |  2.22% | $+1,531.64
 1.25%  | 15    | 1.00   | 5      |  60.00 % |  2.22% | $+1,531.64
 0.20%  | 29    | 1.00   | 44     |  40.91 % |  4.11% | $+1,481.79
 0.20%  | 21    | 1.15   | 37     |  37.84 % |  4.70% | $+1,413.12
 0.75%  | 12    | 1.15   | 8      |  50.00 % |  3.60% | $+1,330.57
 0.75%  | 15    | 1.15   | 8      |  50.00 % |  3.60% | $+1,330.57
 0.75%  | 9     | 0.90   | 14     |  57.14 % |  4.34% | $+1,265.91
 0.20%  | 33    | 1.15   | 42     |  38.10 % |  3.92% | $+1,164.94
 1.50%  | 12    | 0.90   | 5      |  60.00 % |  2.71% | $+1,030.44
 1.50%  | 15    | 0.90   | 5      |  60.00 % |  2.71% | $+1,030.44
 0.20%  | 21    | 1.25   | 34     |  35.29 % |  4.72% | $+966.20
 0.20%  | 29    | 1.15   | 40     |  37.50 % |  4.42% | $+932.18
 0.20%  | 12    | 1.00   | 35     |  40.00 % |  5.33% | $+830.53
 0.20%  | 33    | 1.25   | 39     |  35.90 % |  3.80% | $+718.02
 1.00%  | 21    | 1.50   | 2      |  50.00 % |  1.82% | $+549.51
 1.00%  | 25    | 1.50   | 2      |  50.00 % |  1.82% | $+549.51
 1.00%  | 29    | 1.50   | 2      |  50.00 % |  1.82% | $+549.51
 1.00%  | 33    | 1.50   | 2      |  50.00 % |  1.82% | $+549.51
 0.20%  | 12    | 1.15   | 32     |  37.50 % |  6.01% | $+505.43
 0.20%  | 29    | 1.25   | 37     |  35.14 % |  4.26% | $+485.26
 0.20%  | 33    | 1.50   | 34     |  35.29 % |  4.25% | $+453.82
 0.20%  | 12    | 0.90   | 39     |  41.03 % |  5.36% | $+324.48
 0.20%  | 12    | 1.50   | 28     |  35.71 % |  5.45% | $+308.61
 1.25%  | 21    | 1.25   | 2      |  50.00 % |  2.07% | $+297.68
 1.25%  | 25    | 1.25   | 2      |  50.00 % |  2.07% | $+297.68
 1.25%  | 29    | 1.25   | 2      |  50.00 % |  2.07% | $+297.68
 1.25%  | 33    | 1.25   | 2      |  50.00 % |  2.07% | $+297.68
 0.20%  | 29    | 1.50   | 32     |  34.38 % |  4.52% | $+221.06
 0.20%  | 15    | 1.00   | 39     |  38.46 % |  5.38% | $+220.36
 0.75%  | 9     | 1.25   | 4      |  50.00 % |  1.55% | $+165.26
 0.75%  | 9     | 1.50   | 4      |  50.00 % |  1.55% | $+165.26
 1.25%  | 12    | 1.15   | 4      |  50.00 % |  2.25% | $+117.76
 1.25%  | 15    | 1.15   | 4      |  50.00 % |  2.25% | $+117.76
