===========================================================================
📊 SMC MASS BACKTEST | Margin: $1,000 | SL: 0.4%
===========================================================================
Coin            | Trades   | Win Rate   | Max DD   | Netto PnL   
ASTRUSDT        | 14       | 21.43 %   |  5.32 % | $-3,513.54
PHBUSDT         | 7        |  0.00 %   |  7.68 % | $-7,678.07
GMXUSDT         | 9        | 22.22 %   |  4.93 % | $-630.51
CFXUSDT         | 5        | 20.00 %   |  2.28 % | $+1,184.84
STXUSDT         | 8        | 25.00 %   |  3.97 % | $-3,972.39
ACHUSDT         | 11       | 18.18 %   |  5.88 % | $-4,557.98
SSVUSDT         | 9        | 33.33 %   |  2.31 % | $+2,259.52
CKBUSDT         | 14       | 35.71 %   |  6.64 % | $-977.00
TRUUSDT         | 9        | 44.44 %   |  2.11 % | $+4,287.32
LQTYUSDT        | 6        | 16.67 %   |  2.55 % | $-2,023.52
IDUSDT          | 8        |  0.00 %   |  7.13 % | $-7,129.23
ARBUSDT         | 6        | 50.00 %   |  1.88 % | $+5,523.47
JOEUSDT         | 16       | 25.00 %   |  6.97 % | $-5,703.98
TLMUSDT         | 10       | 40.00 %   |  3.99 % | $+1,059.94
RDNTUSDT        | 8        | 37.50 %   |  2.71 % | $+801.05
HFTUSDT         | 7        | 28.57 %   |  2.12 % | $+1,009.60
XVSUSDT         | 10       | 20.00 %   |  3.28 % | $-2,143.49
BLURUSDT        | 12       | 25.00 %   |  8.17 % | $-4,845.44
EDUUSDT         | 11       | 27.27 %   |  6.37 % | $-3,558.79
SUIUSDT         | 6        | 50.00 %   |  2.69 % | $+2,090.98
1000PEPEUSDT    | 6        | 33.33 %   |  2.04 % | $-842.11
1000FLOKIUSDT   | 9        | 33.33 %   |  4.11 % | $-188.23
UMAUSDT         | 14       | 28.57 %   |  9.49 % | $-3,565.93
NMRUSDT         | 10       | 10.00 %   |  8.24 % | $-7,888.45
MAVUSDT         | 9        | 33.33 %   |  3.96 % | $+9,967.73
XVGUSDT         | 12       | 25.00 %   |  7.01 % | $-930.89
WLDUSDT         | 10       | 50.00 %   |  2.02 % | $+5,572.30
PENDLEUSDT      | 7        | 42.86 %   |  3.54 % | $+2,325.30
ARKMUSDT        | 9        | 44.44 %   |  3.28 % | $+2,220.81
AGLDUSDT        | 16       |  6.25 %   | 12.19 % | $-12,191.42
YGGUSDT         | 10       | 20.00 %   |  5.43 % | $-3,221.42
DODOXUSDT       | 8        | 37.50 %   |  4.00 % | $+1,912.90
BNTUSDT         | 18       | 22.22 %   |  8.94 % | $-8,941.09
OXTUSDT         | 9        | 22.22 %   |  3.69 % | $-1,768.75
SEIUSDT         | 10       | 50.00 %   |  2.20 % | $+9,111.48
CYBERUSDT       | 7        | 42.86 %   |  1.39 % | $+3,647.34
ARKUSDT         | 10       | 30.00 %   |  5.18 % | $-2,905.77
BICOUSDT        | 13       | 30.77 %   |  4.33 % | $+446.78
BIGTIMEUSDT     | 13       | 30.77 %   |  5.50 % | $-18.77
WAXPUSDT        | 14       | 50.00 %   |  2.18 % | $+4,711.54
BSVUSDT         | 13       | 23.08 %   |  6.44 % | $-6,436.46
RIFUSDT         | 11       | 27.27 %   |  5.81 % | $-3,218.12
POLYXUSDT       | 14       | 14.29 %   |  7.64 % | $-4,689.64
GASUSDT         | 9        | 33.33 %   |  4.13 % | $-602.75
POWRUSDT        | 10       | 30.00 %   |  1.93 % | $-895.88
TIAUSDT         | 8        | 25.00 %   |  4.19 % | $-2,587.75
CAKEUSDT        | 9        | 22.22 %   |  2.77 % | $+2,907.31
MEMEUSDT        | 10       | 20.00 %   |  4.77 % | $-4,770.20
TWTUSDT         | 13       | 23.08 %   |  3.50 % | $-1,930.23
ORDIUSDT        | 15       | 40.00 %   |  3.58 % | $+6,849.79
STEEMUSDT       | 9        | 66.67 %   |  1.57 % | $+7,396.33
ILVUSDT         | 8        | 37.50 %   |  2.99 % | $+2,432.26
NTRNUSDT        | 11       | 27.27 %   |  6.65 % | $-2,141.29
KASUSDT         | 7        | 14.29 %   |  5.97 % | $-4,100.37
BEAMXUSDT       | 13       | 15.38 %   |  7.93 % | $-4,037.55
1000BONKUSDT    | 7        | 14.29 %   |  6.14 % | $-4,086.30
PYTHUSDT        | 11       | 45.45 %   |  5.57 % | $+1,022.70
SUPERUSDT       | 8        | 25.00 %   |  6.00 % | $-2,438.49
USTCUSDT        | 13       | 30.77 %   |  4.13 % | $-323.99
ONGUSDT         | 8        | 25.00 %   |  1.88 % | $-266.70
ETHWUSDT        | 8        | 12.50 %   |  5.83 % | $-4,334.96
JTOUSDT         | 12       | 25.00 %   |  4.39 % | $-308.22
1000SATSUSDT    | 8        | 37.50 %   |  3.22 % | $+2,092.66
AUCTIONUSDT     | 9        | 33.33 %   |  2.93 % | $+1,246.50
1000RATSUSDT    | 4        |  0.00 %   |  3.41 % | $-3,413.71
ACEUSDT         | 9        | 11.11 %   |  7.94 % | $-6,904.76
MOVRUSDT        | 12       | 58.33 %   |  1.82 % | $+9,903.59
NFPUSDT         | 12       | 25.00 %   |  6.62 % | $+3,223.84
AIUSDT          | 8        |  0.00 %   |  7.68 % | $-7,683.19
XAIUSDT         | 13       | 30.77 %   |  4.83 % | $-329.15
WIFUSDT         | 7        | 14.29 %   |  6.29 % | $-6,291.97
MANTAUSDT       | 9        | 66.67 %   |  2.93 % | $+17,753.91
ONDOUSDT        | 9        |  0.00 %   |  6.32 % | $-6,323.32
LSKUSDT         | 9        | 22.22 %   |  4.45 % | $-2,109.63
ALTUSDT         | 12       | 33.33 %   |  4.04 % | $+3,128.04
JUPUSDT         | 10       | 50.00 %   |  3.67 % | $+9,029.97
ZETAUSDT        | 11       | 27.27 %   |  6.02 % | $-2,365.84
RONINUSDT       | 5        | 80.00 %   |  0.62 % | $+11,219.91
DYMUSDT         | 7        | 42.86 %   |  3.10 % | $+2,102.78
PIXELUSDT       | 8        | 12.50 %   |  7.14 % | $-6,969.65
STRKUSDT        | 10       | 40.00 %   |  2.63 % | $+4,665.73
GLMUSDT         | 15       | 40.00 %   |  3.58 % | $+2,497.92
